date,doses,doses_first,doses_second,pfizer_cumul,moderna_cumul,astrazeneca_cumul,persons_first_cumul,persons_full_cumul
2022-09-18,3325,96,164,136955475,31507919,12795103,64772251,63453618
2022-09-19,23347,591,678,136974446,31509931,12795115,64772842,63454296
2022-09-20,52714,688,1128,137018966,31513548,12795115,64773530,63455424
2022-09-21,58461,831,1057,137066763,31516997,12795115,64774361,63456481
2022-09-22,64864,839,1295,137121551,31520519,12795125,64775200,63457776
2022-09-23,50310,709,1125,137160557,31523767,12795125,64775909,63458901
2022-09-24,13571,363,589,137168636,31524845,12795125,64776272,63459490
2022-09-25,5030,152,183,137172504,31525392,12795169,64776424,63459673
2022-09-26,31297,698,729,137196994,31526922,12795180,64777122,63460402
2022-09-27,75182,857,1208,137260795,31529863,12795180,64777979,63461610
2022-09-28,83774,1132,1624,137330132,31532079,12795180,64779111,63463234
2022-09-29,97909,979,1839,137412107,31534988,12795180,64780090,63465073
2022-09-30,82671,934,1553,137473477,31537849,12795181,64781024,63466626
2022-10-01,24983,366,623,137487849,31538439,12795181,64781390,63467249
2022-10-02,6178,173,370,137492005,31538629,12795181,64781563,63467619
2022-10-03,8772,282,373,137498275,31539305,12795181,64781845,63467992
2022-10-04,62052,832,1171,137512204,31540056,12795206,64782677,63469163
2022-10-05,88308,1130,1259,137530451,31541040,12795206,64783807,63470422
2022-10-06,104866,1212,1295,137547677,31541654,12795206,64785019,63471717
2022-10-07,92720,1312,1401,137562707,31542506,12795206,64786331,63473118
2022-10-08,27507,420,532,137568478,31542914,12795206,64786751,63473650
2022-10-09,7777,263,256,137570582,31543047,12795206,64787014,63473906
2022-10-10,50622,655,798,137577921,31543398,12795206,64787669,63474704
2022-10-11,98721,951,1007,137587887,31543750,12795207,64788620,63475711
2022-10-12,105971,1117,1098,137598227,31544053,12795207,64789737,63476809
2022-10-13,124247,1122,1250,137609774,31544547,12795207,64790859,63478059
2022-10-14,107265,1713,1085,137620063,31544884,12795348,64792572,63479144
2022-10-15,35623,492,566,137625407,31545360,12795348,64793064,63479710
2022-10-16,10014,167,197,137626927,31545462,12795348,64793231,63479907
2022-10-17,59437,583,640,137633667,31545635,12795373,64793814,63480547
2022-10-18,110837,825,1017,137642901,31545892,12795373,64794639,63481564
2022-10-19,121596,1093,1183,137654958,31546019,12795375,64795732,63482747
2022-10-20,125264,1002,1035,137661149,31546220,12795416,64796734,63483782
2022-10-21,113271,1230,1069,137671130,31546469,12795417,64797964,63484851
2022-10-22,33165,360,375,137675229,31546545,12795417,64798324,63485226
2022-10-23,7847,57,87,137675943,31546566,12795417,64798381,63485313
2022-10-24,70354,823,579,137685486,31546673,12795429,64799204,63485892
2022-10-25,108324,811,914,137696795,31546811,12795430,64800015,63486806
2022-10-26,96847,920,797,137701961,31547008,12795430,64800935,63487603
2022-10-27,131448,918,1144,137715843,31547199,12795430,64801853,63488747
2022-10-28,99329,1376,977,137724427,31547409,12795430,64803229,63489724
2022-10-29,24785,356,337,137727337,31547541,12795430,64803585,63490061
2022-10-30,5627,37,68,137728209,31547556,12795430,64803622,63490129
2022-10-31,29822,327,358,137731102,31547707,12795445,64803949,63490487
2022-11-01,44101,480,517,137735255,31547740,12795445,64804429,63491004
2022-11-02,88681,783,882,137744193,31547814,12795445,64805212,63491886
2022-11-03,116201,1096,1196,137755020,31548018,12795448,64806308,63493082
2022-11-04,87316,827,928,137762258,31548162,12795449,64807135,63494010
2022-11-05,20423,314,398,137764175,31548236,12795449,64807449,63494408
2022-11-06,6544,110,112,137764818,31548278,12795449,64807559,63494520
2022-11-07,47495,481,452,137768375,31548306,12795450,64808040,63494972
2022-11-08,107010,1222,965,137779269,31548488,12795450,64809262,63495937
2022-11-09,105245,893,791,137787220,31548625,12795450,64810155,63496728
2022-11-10,114203,1097,916,137795511,31548770,12795450,64811252,63497644
2022-11-11,88356,723,857,137802056,31548880,12795450,64811975,63498501
2022-11-12,19053,214,262,137803763,31548960,12795450,64812189,63498763
2022-11-13,6185,69,90,137804368,31548970,12795450,64812258,63498853
2022-11-14,44103,496,436,137807534,31549085,12795456,64812754,63499289
2022-11-15,84170,685,658,137813091,31549195,12795456,64813439,63499947
2022-11-16,85997,740,636,137819125,31549324,12795456,64814179,63500583
2022-11-17,98137,598,655,137825517,31549410,12795456,64814777,63501238
2022-11-18,68096,615,650,137829457,31549510,12795456,64815392,63501888
